model_name,harness,Accuracy (%),ci_lower,ci_upper,Cost ($),Duration (s),N
gpt-5.5,mini-swe-agent,57.95,51.56,64.34,1.1136,707.09,195
gpt-5.5,openai-codex,57.78,51.29,64.26,2.4685,512.8,195
gpt-5.4,mini-swe-agent,57.44,51.07,63.8,0.824,1590.77,195
claude-opus-4-7,mini-swe-agent,55.21,48.85,61.57,1.5378,818.83,195
claude-opus-4-7,claude-code,54.02,47.66,60.38,1.1465,851.33,195
gemini-3.1-pro-preview,mini-swe-agent,53.85,47.54,60.15,0.8948,1085.27,195
claude-opus-4-6,mini-swe-agent,52.65,46.13,59.16,1.1917,846.08,195
gpt-5.2,mini-swe-agent,52.31,45.77,58.84,0.8874,1422.23,195
claude-sonnet-4-6,mini-swe-agent,50.26,43.87,56.64,0.9872,1029.21,195
claude-opus-4-5,mini-swe-agent,47.18,41.01,53.35,0.6553,566.76,195
grok-4.20-beta-0309-reasoning,mini-swe-agent,44.44,38.46,50.43,0.2957,453.29,195
grok-4.3,mini-swe-agent,44.27,38.16,50.39,0.2147,620.45,195
gpt-5.1,mini-swe-agent,38.8,33.0,44.61,0.2177,465.73,195
claude-sonnet-4-5,mini-swe-agent,33.16,27.64,38.69,0.2682,351.52,195
grok-4-1-fast-reasoning,mini-swe-agent,30.26,25.04,35.47,0.0282,534.22,195
gemini-2.5-pro,mini-swe-agent,23.59,18.55,28.63,0.1368,240.11,195
