model_name,harness,Steps (mean),ci_lower,ci_upper,Cost ($),Duration (s)
gemini-2.5-pro,mini-swe-agent,10.44,9.68,11.2,0.1368,240.11
claude-sonnet-4-5,mini-swe-agent,12.74,12.12,13.36,0.2682,351.52
gpt-5.1,mini-swe-agent,16.76,15.83,17.7,0.2177,465.73
claude-opus-4-5,mini-swe-agent,16.87,15.9,17.84,0.6553,566.76
claude-opus-4-6,mini-swe-agent,17.13,16.12,18.14,1.1917,846.08
grok-4.20-beta-0309-reasoning,mini-swe-agent,18.1,17.08,19.12,0.2957,453.29
gpt-5.5,mini-swe-agent,18.24,17.3,19.18,1.1136,707.09
claude-opus-4-7,claude-code,18.36,16.46,20.26,1.1465,851.33
claude-opus-4-7,mini-swe-agent,22.08,20.31,23.85,1.5378,818.83
claude-sonnet-4-6,mini-swe-agent,22.72,21.38,24.07,0.9872,1029.21
grok-4-1-fast-reasoning,mini-swe-agent,24.49,10.55,38.42,0.0282,534.22
grok-4.3,mini-swe-agent,26.26,24.64,27.87,0.2147,620.45
gemini-3.1-pro-preview,mini-swe-agent,28.85,27.12,30.59,0.8948,1085.27
gpt-5.4,mini-swe-agent,31.6,29.69,33.51,0.824,1590.77
gpt-5.2,mini-swe-agent,37.24,34.7,39.78,0.8874,1422.23
gpt-5.5,openai-codex,37.65,35.08,40.23,2.4685,512.8
